,randomx,progpow,cuckatoo,height,timestamp
0,1095293390,764005099338,4890624,1025106,1627628705
0,1092488403,764005099338,4890624,1025107,1627628760
0,1092488403,774412024978,4890624,1025108,1627628780
0,1084745505,774412024978,4890624,1025109,1627628902
0,1099067608,774412024978,4890624,1025110,1627628917
0,1099067608,771690064251,4890624,1025111,1627628967
0,1095343348,771690064251,4890624,1025112,1627628998
0,1095343348,778971050455,4890624,1025113,1627629068
0,1091129541,778971050455,4890624,1025114,1627629079
0,1091429834,778971050455,4890624,1025115,1627629127
0,1091429834,789259175705,4890624,1025116,1627629152
0,1102988710,789259175705,4890624,1025117,1627629192
